name	start	end	size	instruction_count	direct_calls	import_calls_or_refs	string_refs_sample
sub_00573F20	0x573f20	0x5740b0	400	148	sub_004028B0,sub_004028F0,sub_004029C0,sub_005552F0,sub_0056DFE0,sub_00591D60,sub_005A6CC0		Routing command id 0x%04X to owner window.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | Routing command id 0x%04X to app.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | IGNORING command id 0x%04X sent to %hs dialog.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_005740B0	0x5740b0	0x574140	144	54	sub_004EC450,sub_0055C570,sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574140	0x574140	0x574210	208	69	sub_004028B0,sub_004028F0,sub_004029C0,sub_0055DAF0,sub_0055E230		"Warning: calling DestroyWindow in CDialog::~CDialog --\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | 	OnDestroy or PostNcDestroy in derived class will not be called.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp"
sub_00574210	0x574210	0x5742a0	144	44	sub_004E6810,sub_0055CBB0,sub_0056EEF0,sub_0059E0D0,sub_0059E1A0		
sub_005742A0	0x5742a0	0x5743a0	256	97	sub_005743C0,sub_00575730,sub_00578F70,sub_005A6CC0,sub_005A74B0	KERNEL32.dll!FindResourceA,KERNEL32.dll!FreeResource,KERNEL32.dll!LoadResource	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_005743A0	0x5743a0	0x5743c0	32	15	sub_005743C0		
sub_005743C0	0x5743c0	0x574420	96	38	sub_00566A30,sub_00574450,sub_005A6CC0	KERNEL32.dll!LockResource	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574420	0x574420	0x574450	48	29	sub_00574450		
sub_00574450	0x574450	0x5744b0	96	44	sub_00574560,sub_00579020,sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_005744B0	0x5744b0	0x574560	176	67	sub_00566A30,sub_00574560,sub_00578F70,sub_005A6CC0	KERNEL32.dll!FindResourceA,KERNEL32.dll!FreeResource,KERNEL32.dll!LoadResource,KERNEL32.dll!LockResource	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574560	0x574560	0x57486b	779	221	sub_004028B0,sub_004028F0,sub_004029C0,sub_004056F0,sub_0040EDD0,sub_004186A0,sub_00553670,sub_00553BD0,sub_0055D650,sub_00565170,sub_00578F30,sub_00578F70,sub_005A6CC0,sub_005A6D20,sub_005A6E30,sub_005ACC50,sub_005E55F0,sub_005E5780,sub_005E5830,sub_005E5AA0	KERNEL32.dll!GetLastError,KERNEL32.dll!GlobalLock,USER32.dll!CreateDialogIndirectParamA,USER32.dll!GetSystemMetrics	Warning: Creating dialog from within a COleControlModule application is not a supported scenario.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | MS Shell Dlg | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_0057486B	0x57486b	0x574a30	453	136	sub_004028B0,sub_004028F0,sub_004029C0,sub_0055D730,sub_005A6CC0,sub_005ACC50	KERNEL32.dll!GlobalFree,KERNEL32.dll!GlobalUnlock,USER32.dll!DestroyWindow	>>> If this dialog has OLE controls:\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | >>> AfxEnableControlContainer has not been called yet.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | >>> You should call it in your app's InitInstance function.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | Warning: Dialog creation failed!  GetLastError returns 0x%8.8X\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574A30	0x574a30	0x574a50	32	16			
sub_00574A50	0x574a50	0x574a70	32	24			
sub_00574A70	0x574a70	0x574b40	208	72	sub_004EC450,sub_0055C570,sub_005A6CC0,sub_005A74B0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574B40	0x574b40	0x574b90	80	28	sub_004EC450,sub_0055C570		
sub_00574B90	0x574b90	0x574c20	144	58	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574C20	0x574c20	0x574cb0	144	52	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574CB0	0x574cb0	0x574d20	112	43	sub_00553BD0,sub_0055D650,sub_00578F30,sub_00596E70,sub_005972D0,sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574D20	0x574d20	0x574d80	96	34	sub_0055CE70,sub_0055D730,sub_00578F30,sub_00596E70	USER32.dll!EnableWindow,USER32.dll!IsWindow	
sub_00574D80	0x574d80	0x574ff8	632	194	sub_00553670,sub_0055CCE0,sub_0055D650,sub_0055D730,sub_00564D30,sub_0056F570,sub_0056FB90,sub_0056FCC0,sub_0056FD30,sub_00574560,sub_00574CB0,sub_00578F70,sub_00579020,sub_005A6CC0,sub_005A6D20	KERNEL32.dll!FindResourceA,KERNEL32.dll!LoadResource,KERNEL32.dll!LockResource,USER32.dll!EnableWindow,USER32.dll!GetDesktopWindow,USER32.dll!IsWindowEnabled	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00574FF8	0x574ff8	0x5750a0	168	60	sub_00566A30,sub_0056FD30,sub_00574D20	KERNEL32.dll!FreeResource,USER32.dll!EnableWindow,USER32.dll!GetActiveWindow,USER32.dll!SetActiveWindow	
